Net_11863	51	96	0.5846	0.9741
Net_01557	139	557	0.2671	1.1439
Net_01607	20	51	0.4742	0.7812
Net_01778	28	123	0.2112	1.0201
Net_01969	68	103	0.4711	0.9722
Net_02035	5	14	0.1250	0.8000
Net_02084	28	45	0.4245	1.2232
Net_02135	73	114	0.9805	0.7823
Net_02136	15	38	0.6593	0.9844
Net_02161	44	78	0.4024	1.0110
Net_02172	34	43	0.4318	0.9688
Net_02202	16	22	0.3913	0.9500
Net_02214	118	218	0.3516	0.8976
Net_02215	50	97	0.6939	0.9455
Net_02309	104	226	0.2348	0.9004
Net_02314	86	149	0.3636	0.8318
Net_02329	41	73	0.3182	1.0139
Net_02341	17	29	0.3243	1.0278
Net_02394	22	39	0.1903	0.9978
Net_02396	10	35	0.2892	1.0234
Net_02404	20	42	0.3000	0.9792
Net_02407	60	195	0.1759	0.9259
Net_02423	18	51	0.3007	1.0781
Net_02663	26	29	0.1947	0.9263
Net_02667	18	18	0.3478	0.8500
Net_02668	11	11	0.5909	1.0000
Net_02669	24	28	0.7442	0.7625
Net_02681	9	19	0.2407	0.9167
Net_02691	40	53	0.3209	0.9437
Net_02697	25	70	0.4049	0.9309
Net_02698	25	70	0.3984	0.9572
Net_02699	16	46	0.5913	0.6534
Net_02700	16	46	0.5772	0.6875
Net_02701	16	41	0.6369	0.6875
Net_02703	25	81	0.2953	0.9338
Net_02738	138	368	0.9335	0.9785
Net_02901	23	34	0.4362	1.0688
Net_03481	131	302	0.0795	0.7983
Net_03491	24	48	0.1621	0.7974
Net_03492	32	75	0.2929	0.9938
Net_03493	26	58	0.4415	1.0147
Net_03506	24	32	0.1732	0.7083
Net_03509	53	135	0.4601	1.0037
Net_03510	23	24	0.3621	0.9286
Net_03511	73	97	0.4000	1.0208
Net_03512	19	32	0.3462	1.0000
Net_36604	66	139	0.5246	0.9402
Net_04601	70	153	0.3575	0.9885
Net_04705	31	50	0.4559	1.1000
Net_04706	15	38	0.6593	0.9844
Net_04775	62	108	0.7579	0.8710
Net_04779	19	79	0.2091	1.0588
Net_04783	91	150	0.0245	0.9023
Net_04790	15	66	0.2841	0.9781
Net_04837	14	66	0.5286	1.2957
Net_04850	67	131	0.3255	0.9395
Net_04932	49	167	0.2762	1.2181
Net_04942	26	81	0.3344	0.9668
Net_05025	18	78	0.0633	0.5902
Net_05128	13	22	0.2931	0.9643
Net_05731	12	30	0.6034	1.0357
Net_05884	32	156	0.0963	0.6903
Net_06885	13	18	0.3571	1.0417
Net_07916	23	43	0.3517	1.1037
Net_07926	22	38	0.5395	1.0875
Net_07984	53	104	0.4615	1.0086
Net_08048	42	51	0.5870	1.0458
Net_08080	81	160	0.4583	0.8858
Net_08186	33	94	0.1542	1.0399
Net_08227	18	43	0.2778	1.0139
Net_91515	164	486	0.8518	0.9116
